Designator,Mid X,Mid Y,Layer,Rotation
U1,43.0000,49.0000,Top,0.000
J2,66.8000,40.0000,Top,90.000
R1,60.0000,46.0000,Top,0.000
R2,60.0000,35.5000,Top,0.000
U3,59.0000,41.0000,Top,0.000
R3,55.0000,45.0000,Top,180.000
R4,55.0000,41.5000,Top,180.000
U2,58.0000,52.0000,Top,90.000
C1,62.0000,52.0000,Top,90.000
C2,54.0000,52.0000,Top,90.000
C3,30.0000,53.7000,Top,90.000
C4,30.0000,50.0000,Top,90.000
R5,30.0000,46.5000,Top,90.000
C5,30.0000,43.0000,Top,90.000
R6,33.0000,37.0000,Top,90.000
R7,30.0000,39.5000,Top,0.000
R8,60.0000,55.5000,Top,0.000
SW1,38.0000,35.0000,Top,0.000
SW2,47.0000,35.0000,Top,0.000
R9,56.0000,35.0000,Top,0.000
D3,60.0000,32.0000,Top,0.000
J1,11.2000,46.6500,Top,0.000
F1,18.0000,52.0000,Top,0.000
Q1,21.0000,46.0000,Top,0.000
R10,16.0000,43.0000,Top,0.000
D1,21.0000,42.0000,Top,0.000
D2,15.0000,36.0000,Top,90.000
C6,8.2500,38.0000,Top,0.000
FB1,20.5000,35.0000,Top,0.000
C7,25.5000,42.5000,Top,0.000
U4,25.0000,35.0000,Top,0.000
R11,21.0000,31.0000,Top,90.000
R12,24.0000,30.0000,Top,90.000
R13,30.0000,35.0000,Top,90.000
C8,29.0000,31.0000,Top,90.000
R14,26.5000,39.0000,Top,0.000
R15,21.0000,39.0000,Top,0.000
C11,19.0000,28.5000,Top,0.000
C9,8.5000,28.0000,Top,0.000
C10,26.5000,27.5000,Top,0.000
R16,30.0000,25.5000,Top,90.000
R17,32.0000,30.0000,Top,90.000
D4,36.0000,30.0000,Top,0.000
R18,36.0000,27.0000,Top,0.000
J3,9.8100,11.0000,Top,0.000
Q2,13.0000,18.5000,Top,0.000
R20,9.0000,20.5000,Top,0.000
R21,8.5000,17.0000,Top,90.000
R22,18.0000,19.6000,Top,90.000
J4,24.8100,11.0000,Top,0.000
Q3,28.0000,18.5000,Top,0.000
R25,24.0000,20.5000,Top,0.000
R26,23.5000,17.0000,Top,90.000
R27,33.0000,19.6000,Top,90.000
J5,39.8100,11.0000,Top,0.000
Q4,43.0000,18.5000,Top,0.000
R30,39.0000,20.5000,Top,0.000
R31,38.5000,17.0000,Top,90.000
R32,48.0000,19.6000,Top,90.000
J6,54.8100,11.0000,Top,0.000
Q5,58.0000,18.5000,Top,0.000
R35,54.0000,20.5000,Top,0.000
R36,53.5000,17.0000,Top,90.000
R37,63.0000,19.6000,Top,90.000
Q6,18.0000,16.2000,Top,0.000
Q7,33.0000,16.2000,Top,0.000
Q8,48.0000,16.2000,Top,0.000
Q9,63.0000,16.2000,Top,0.000
R19,60.0000,59.0000,Top,0.000
R40,31.5000,32.7000,Top,0.000
